20180	90.73	0.00	0.00	0.00	0.00	90.00	1472	
20210	91.20	0.00	0.00	0.00	0.00	90.00	1472	
20230	91.46	0.00	0.00	0.00	0.00	90.00	1472	
20250	91.39	0.00	0.00	0.00	0.00	90.00	1472	
20300	90.18	0.00	0.00	0.00	0.00	90.00	1472	
20320	90.21	0.00	0.00	0.00	0.00	90.00	1472	
20370	91.32	0.00	0.00	0.00	0.00	90.00	1472	
20390	91.73	0.00	0.00	0.00	0.00	90.00	1472	
20440	91.00	0.00	0.00	0.00	0.00	90.00	1472	
20460	90.57	0.00	0.00	0.00	0.00	90.00	1472	
20480	90.64	0.00	0.00	0.00	0.00	90.00	1472	
20510	90.48	0.00	0.00	0.00	0.00	90.00	1472	
20530	90.93	0.00	0.00	0.00	0.00	90.00	1472	
20550	91.02	0.00	0.00	0.00	0.00	90.00	1472	
20580	90.75	0.00	0.00	0.00	0.00	90.00	1472	
20600	90.16	0.00	0.00	0.00	0.00	90.00	1472	
20620	90.38	0.00	0.00	0.00	0.00	90.00	1472	
20670	90.91	0.00	0.00	0.00	0.00	90.00	1472	
20690	91.02	0.00	0.00	0.00	0.00	90.00	1472	
20740	90.69	0.00	0.00	0.00	0.00	90.00	1472	
20760	90.77	0.00	0.00	0.00	0.00	90.00	1472	
20810	91.49	0.00	0.00	0.00	0.00	90.00	1472	
20830	91.50	0.00	0.00	0.00	0.00	90.00	1472	
20850	91.08	0.00	0.00	0.00	0.00	90.00	1472	
20880	90.42	0.00	0.00	0.00	0.00	90.00	1472	
20900	90.66	0.00	0.00	0.00	0.00	90.00	1472	
20920	91.26	0.00	0.00	0.00	0.00	90.00	1472	
20950	91.71	0.00	0.00	0.00	0.00	90.00	1472	
20970	91.67	0.00	0.00	0.00	0.00	90.00	1472	
20990	91.05	0.00	0.00	0.00	0.00	90.00	1472	
21040	90.70	0.00	0.00	0.00	0.00	90.00	1472	
21060	91.28	0.00	0.00	0.00	0.00	90.00	1472	
21110	91.75	0.00	0.00	0.00	0.00	90.00	1472	
21130	91.16	0.00	0.00	0.00	0.00	90.00	1472	
